# NZZ FlexRead — every online article NZZ published on 2026-09-02 (Europe/Zurich). Generated from dragon (Livingdocs content type: 'article').
# Re-pack:  python3 hackathon/_tools/kenny_pack.py <this folder>
10021792   # 16:30 | International |  | 1129w | Die Leiden des verwöhnten Prinzen: was das Drama um die Rückkehr von Harry und Meghan über
10022138   # 16:37 | Schweiz |  | 766w | Tessiner Regierung entmachtet Claudio Zali – doch er lehnt einen Rücktritt ab
10021927   # 16:55 | International |  | 962w | Chinas Machthaber Xi Jinping reist nur noch selten ins Ausland. Weshalb dann ausgerechnet 
10021922   # 16:57 | Schweiz |  | 841w | Die Polizei geht von einem Amoklauf aus: Der Schütze von Aarau war womöglich psychisch kra
10022079   # 16:59 | International |  | 565w | Nach Deutschlands Vorwürfen an Moskau: Die EU bereitet neue Sanktionen vor – zum ersten Ma
10022151   # 17:03 | NZZ Shorts |  | 48w | Andreas Rödder: «Das Pendel schwingt nach rechts»
10022117   # 17:58 | Schweiz |  | 632w | Der Bundesrat zeigt sich offen für ein Verbot von Konversionstherapien
10022110   # 18:28 | Schweiz |  | 958w | Subventionen nur noch gegen Resultate: Der ausgebildete Landwirt Guy Parmelin will, dass d
10022147   # 19:27 | Der andere Blick | Der andere Blick | 551w | Die liberale Stimme von Katherina Reiche ist wichtig. Sie sollte sie nicht durch Provokati
10022096   # 19:36 | Schweiz |  | 546w | Für die Brandopfer von Crans-Montana geht es Schritt für Schritt zurück in den Alltag
10022179   # 20:05 | Zürich | Kurzmeldungen | 406w | News aus Zürich: Gemeinderat will Sonnenblumensymbol für Menschen mit unsichtbaren Beeintr
10021886   # 20:46 | Zürich |  | 876w | Das Krisen-Spital von Wetzikon will sich lieber von der Spitalgruppe des Kantons Thurgau r
10021916   # 22:01 | Zürich |  | 749w | Rot-Grün will private Immobilienbesitzer zum Bau von günstigen Wohnungen zwingen. Doch im 
10022167   # 22:39 | Sport |  | 650w | Vor den Augen von Klublegende Nuñez: Die Grasshoppers feiern gegen St. Gallen den ersten S
